" ","score","status","future"
"Index",59.3,,59.5
"Food Provision",37.2,37,37.5
". Fisheries",13.3,13.4,13.3
". Mariculture",60.9,60.4,61.4
"Artisanal Fishing Opportunity",53.4,53.3,53.6
"Natural Products",88.3,88.5,88.1
"Carbon Storage",39.6,40.3,38.9
"Coastal Protection",37.2,37.8,36.7
"Tourism & Recreation",83.5,81.7,85.3
"Coastal Livelihoods & Economies",51.2,44.2,58.3
". Livelihoods",57,47.3,66.6
". Economies",45.5,41.1,49.9
"Sense of Place",75.8,79.4,72.3
". Iconic Species",58.9,66.7,51.1
". Lasting Special Places",92.8,92.1,93.5
"Clean Waters",74,72.4,75.5
"Biodiversity",54.5,58.7,50.4
". Habitats",53.8,55,52.6
". Species",55.3,62.3,48.2
